county,state_name,lat,lng,population
Outagamie,Wisconsin,44.4161,-88.4649,190611
Charlotte,Florida,26.9058,-81.9114,189900
Saginaw,Michigan,43.335,-84.0532,189821
Beaufort,South Carolina,32.3857,-80.7306,189071
Santa Rosa,Florida,30.7004,-87.0219,188994
Iredell,North Carolina,35.8071,-80.8734,187839
Tippecanoe,Indiana,40.3886,-86.8941,186955
Cass,North Dakota,46.933,-97.248,186328
DeSoto,Mississippi,34.8753,-89.9912,186214
Newport News,Virginia,37.105,-76.5181,185118
Boone,Missouri,38.9906,-92.3097,184043
Washington,Utah,37.2804,-113.5048,183297
Johnson,Texas,32.379,-97.3665,182690
Kent,Delaware,39.086,-75.5686,182400
Medina,Ohio,41.1176,-81.8997,182347
Ulster,New York,41.8881,-74.2586,182153
Shasta,California,40.7637,-122.0405,181852
Peoria,Illinois,40.788,-89.7601,181186
Bay,Florida,30.2652,-85.6203,181055
Vanderburgh,Indiana,38.0249,-87.5859,179900
Kanawha,West Virginia,38.3365,-81.5281,179895
Imperial,California,33.0395,-115.3653,179578
Licking,Ohio,40.0916,-82.4831,178844
Shawnee,Kansas,39.0415,-95.7565,178625
Muskegon,Michigan,43.2912,-86.152,175947
Hendricks,Indiana,39.7695,-86.51,175639
Lower Connecticut River Valley,Connecticut,41.45,-72.5073,175244
Lee,Alabama,32.6011,-85.3555,175126
Scott,Iowa,41.6371,-90.6232,174315
Guadalupe,Texas,29.5831,-97.9486,173828
Kootenai,Idaho,47.6744,-116.7018,173396
Porter,Indiana,41.4603,-87.0672,173355
Carroll,Maryland,39.5629,-77.0225,173225
Alamance,North Carolina,36.0437,-79.3995,171779
McLean,Illinois,40.4909,-88.8473,171284
Winnebago,Wisconsin,44.0689,-88.6446,171197
Pitt,North Carolina,35.5933,-77.3745,171196
Kent,Rhode Island,41.6722,-71.5932,170168
Paulding,Georgia,33.9206,-84.8673,169898
Aiken,South Carolina,33.5443,-81.6347,169865
Davidson,North Carolina,35.7933,-80.2128,169498
Midland,Texas,31.8691,-102.0316,169393
Kenton,Kentucky,38.9334,-84.5333,169066
Kenosha,Wisconsin,42.5769,-88.0424,168693
